tanh不行
{"Bleu_1": 0.7425541485582547, "Bleu_2": 0.5740954920757634, "Bleu_3": 0.4188131845459262, "Bleu_4": 0.29891636677454564, "METEOR": 0.2549676249608123, "ROUGE_L": 0.538892714358673, "CIDEr": 1.001850897288501, "SPICE": 0.191219274327804}epoch:0

# shell.sh
# 3层 use_contrastive_loss prefix50 with const50 learn use_npair_loss=True for only the last layer lamada=0.1
{"Bleu_1": 0.7248568801292096, "Bleu_2": 0.5520318557894135, "Bleu_3": 0.3974710256529099, "Bleu_4": 0.280081957136235, "METEOR": 0.24379587434256803, "ROUGE_L": 0.5246948138797206, "CIDEr": 0.925398408821585, "SPICE": 0.17750180922888148}epoch:0
{"Bleu_1": 0.7644599594472969, "Bleu_2": 0.5952407496989294, "Bleu_3": 0.4365503732718827, "Bleu_4": 0.3119522456000934, "METEOR": 0.26501729939889673, "ROUGE_L": 0.5502956961947004, "CIDEr": 1.0539100906781826, "SPICE": 0.19660145063461618}epoch:1
{"Bleu_1": 0.7665749311983828, "Bleu_2": 0.6025251020350724, "Bleu_3": 0.4469051649536429, "Bleu_4": 0.3232649431307788, "METEOR": 0.26865119645346824, "ROUGE_L": 0.5551898405495563, "CIDEr": 1.0846710078157384, "SPICE": 0.2019629666438107}epoch:2
{"Bleu_1": 0.763646299257205, "Bleu_2": 0.6006101528396394, "Bleu_3": 0.44665818129609164, "Bleu_4": 0.324204224738639, "METEOR": 0.27236956210102786, "ROUGE_L": 0.5572126991180416, "CIDEr": 1.101554500873506, "SPICE": 0.20561471464201794}epoch:3
{"Bleu_1": 0.7775822885636523, "Bleu_2": 0.6143543612164221, "Bleu_3": 0.4589490547775761, "Bleu_4": 0.33430141497779975, "METEOR": 0.27066956130660436, "ROUGE_L": 0.5616837326006142, "CIDEr": 1.115342014615313, "SPICE": 0.20584558850932905}epoch:4
{"Bleu_1": 0.7680879878524076, "Bleu_2": 0.6070572869347554, "Bleu_3": 0.4536829271249303, "Bleu_4": 0.33150773818849405, "METEOR": 0.2736797551042368, "ROUGE_L": 0.5610054075195269, "CIDEr": 1.1192900472884786, "SPICE": 0.21100954234434743}epoch:5
{"Bleu_1": 0.782669226063645, "Bleu_2": 0.620687777594707, "Bleu_3": 0.4670612516013667, "Bleu_4": 0.3433026056330533, "METEOR": 0.27399329963058033, "ROUGE_L": 0.5646925081565513, "CIDEr": 1.14050023743367, "SPICE": 0.2110283234978003}epoch:6
{"Bleu_1": 0.7833842265978566, "Bleu_2": 0.6254626109795144, "Bleu_3": 0.4719089573093799, "Bleu_4": 0.3486427999250854, "METEOR": 0.27697231544020917, "ROUGE_L": 0.5689403259088471, "CIDEr": 1.1569818461685162, "SPICE": 0.21059918961848179}epoch:7
